"zip","city","state","name","address","postalCode","lat","lon"
"07001","Avenel","NJ","ShopRite of Woodbridge","877 St. George Ave.","07095",40.56813543034942,-74.29270636739173
"07002","Bayonne","NJ","Walmart Supercenter","500 Bayonne Crossing Way","07002",40.660013841451736,-74.10687220174691
"07002","Bayonne","NJ","ShopRite","583 Avenue C","07002",40.66724046031208,-74.11910666475455
"07002","Bayonne","NJ","Stop & Shop","1 Lefante Way","07002",40.6669187,-74.1037912
"07002","Bayonne","NJ","Twin City Liquor & Wine","2 Garfield Ave.","07002",40.68461737872826,-74.09961829108686
"07002","Bayonne","NJ","Wekalet","457 Broadway","07002",40.662876000000004,-74.11950300000001
"07002","Bayonne","NJ","online room","not_available","07002",40.666625947583384,-74.11939942233879
"07002","Bayonne","NJ","ACME Markets Pharmacy","19-21 Ave At Port Imperial","07093",40.674845,-74.120903
"07002","Bayonne","NJ","Atop And Ship Bayonne","not_available","not_available",40.6827144,-74.0975359
"07002","Bayonne","NJ","A & P Supermarket","Avenue A","not_available",40.66328261482616,-74.12457807493874
"07002","Bayonne","NJ","Bayonne Fresh Market","1033 Broadway","07002",40.683381,-74.102165
"07002","Bayonne","NJ","ShopRite of Bayonne-26 Street","583-9 Avenue C","07002",40.6459161,-74.1310213
"07002","Bayonne","NJ","Twin City Supermarket","2 Garfield Ave","07305",40.68900836629701,-74.10611791717461
"07002","Bayonne","NJ","Tiger Deli","1224 Kennedy Blvd","07002",40.68902700881857,-74.10603765273011
"07002","Bayonne","NJ","Joseph's Delicatessan","561 Avenue A","07002",40.667993,-74.1243
"07002","Bayonne","NJ","American Pinoy Food Mart","1347 Kennedy Blvd","07002",40.69345102037303,-74.10318719513012
"07002","Bayonne","NJ","18th Street Farm Fresh Market","400-404 Broadway","07002",40.66070556640625,-74.12061309814453
"07002","Bayonne","NJ","Karun Deli","474 Kennedy Blvd","07002",40.6624646,-74.1257095
"07002","Bayonne","NJ","Hye Mart","100 Highway 440","07002",40.656803131103516,-74.11749267578125
"07003","Bloomfield","NJ","ShopRite of Brookdale","1409 Broad St.","07003",40.83758277203604,-74.1841365421257
"07003","Bloomfield","NJ","Super Stop & Shop","8 Franklin St","07003",40.78284456187422,-74.18475687503815
"07003","Bloomfield","NJ","Foodtown of Bloomfield","296 Glenwood Avenue","07003",40.792662211781256,-74.19877040164646
"07003","Bloomfield","NJ","ACME Markets","510 Valley Rd","07043",40.83706249395663,-74.20732691155423
"07003","Bloomfield","NJ","Kings Food Markets","650 Valley Rd","07043",40.84354226162593,-74.20793947834072
"07003","Bloomfield","NJ","Food World SuperFresh","115 Belmont Ave","07109",40.778945639487205,-74.18409422117792
"07003","Bloomfield","NJ","Aldi","244 Bloomfield Ave","07003",40.7823247,-74.1924302
"07003","Bloomfield","NJ","East West Market","67 Belleville Ave","07003",40.797445,-74.18195
"07003","Bloomfield","NJ","Krauszer's","1263 Broad St","07003",40.833696435828365,-74.18032264644128
"07003","Bloomfield","NJ","Green Grocer Food Hub","27 Carteret St","07003",40.786128000000005,-74.20825
"07003","Bloomfield","NJ","Lights Grocery #2","34 Erwin Park Rd","07042",40.829479,-74.211014
"07003","Bloomfield","NJ","Agora By Stamna","1045 Broad St","07003",40.8276457,-74.1870461
"07003","Bloomfield","NJ","Food Fair","523 Mount Prospect Ave","07104",40.769751,-74.16833199999999
"07003","Bloomfield","NJ","Roc-Steady  and  Associates","74 Florence Ave","07003",40.7845277,-74.18635809999999
"07003","Bloomfield","NJ","East West Restaurant Filipino Buffet","not_available","07003",40.79752192047566,-74.18205830932222
"07003","Bloomfield","NJ","D&D West Indian American Grocery","8 Arlington Ave","07003",40.7822265625,-74.19410705566406
"07004","Fairfield","NJ","ShopRite of West Caldwell","540 Passaic Ave","07006",40.848476109147335,-74.29713351056225
"07004","Fairfield","NJ","Corrado's Market","480 US Highway 46","07004",40.88504615401521,-74.28424015873469
"07004","Fairfield","NJ","Vell-Mac Foods Inc.","20 Stewart Pl","07004",40.8688599,-74.3161574
"07005","Boonton","NJ","Walmart","300 Wootton St","07005",40.907510211312626,-74.40394923649639
"07005","Boonton","NJ","Whole Foods","not_available","07054",40.875106,-74.430904
"07005","Boonton","NJ","ACME Markets","550 Myrtle Ave","07005",40.9082863,-74.3969898
"07005","Boonton","NJ","Super Foodtown","435 N Beverwyck Rd","07034",40.87613955584636,-74.38194065341777
"07005","Boonton","NJ","Kings Food Markets","115 Hawkins Pl","07005",40.907355172500345,-74.42494541488006
"07005","Boonton","NJ","Country Farm Food Market","224 Washington St","07005",40.900656,-74.40764200000001
"07005","Boonton","NJ","Grassroots Natural Market","20 1st Ave","07834",40.8929252581484,-74.47665368878569
"07005","Boonton","NJ","Whole Foods Market","60 Waterview Blvd","07054",40.875332,-74.431896
"07005","Boonton","NJ","Main Pharmacy of Boonton Inc","203 Main St","07005",40.902988,-74.407515
"07006","Caldwell","NJ","Jack's Foodtown","373 Bloomfield Ave","07006",40.84067560874382,-74.27797326409275
"07006","Caldwell","NJ","Super Foodtown of Caldwell","370 Bloomfield Ave","07006",40.840546,-74.278019
"07008","Carteret","NJ","ShopRite of Carteret","801 Roosevelt Ave.","07008",40.588836897305434,-74.22770602054149
"07008","Carteret","NJ","Carteret Grosery","not_available","07008",40.582809999999995,-74.218411
"07009","Cedar Grove","NJ","The Fresh Grocer of Cedar Grove","597 Pompton Avenue","07009",40.853939,-74.228943
"07009","Cedar Grove","NJ","ShopRite of Little Falls","Browertown Rd","07424",40.8801391,-74.21254259999999
"07009","Cedar Grove","NJ","Kings Food Markets","265 Pompton Ave","07044",40.83395321738813,-74.2259389530486
"07010","Cliffside Park","NJ","Mitsuwa Marketplace","595 River Rd","07020",40.81625111476336,-73.97998764962125
"07010","Cliffside Park","NJ","Trader Joe's","715 River Rd","07020",40.819433423867,-73.9774333129283
"07010","Cliffside Park","NJ","Nizam Turkish Supermarket","608 Anderson Ave","07010",40.82523241830382,-73.98779404707545
"07010","Cliffside Park","NJ","Kikos","321 Anderson Ave","07022",40.817340532622914,-73.99429786527384
"07010","Cliffside Park","NJ","Juno's Fruits And Vegetables","663 Anderson Ave","07010",40.82718720016171,-73.98707154729439
"07010","Cliffside Park","NJ","Ziyadeh Meat Market & Grocery","118 Anderson Ave","07022",40.813426,-73.997798
"07010","Cliffside Park","NJ","Hamov market","575 Anderson Ave","07010",40.823983,-73.989212
"07010","Cliffside Park","NJ","Prime Foods International Delicatessen","Anderson Ave","07010",40.82413864135742,-73.98875427246094
"07011","Clifton","NJ","Trader Joe's","259 Allwood Road","07012",40.836619817591355,-74.15161159758628
"07011","Clifton","NJ","ShopRite of Passaic on Paulison Ave","503 Paulison Avenue","07055",40.86261771946925,-74.1400202542621
"07011","Clifton","NJ","Istanbul Market","1500 Main Ave","07011",40.88592956822662,-74.15034823606042
"07011","Clifton","NJ","Slice Of India","50 Market St","07012",40.845743,-74.160331
"07011","Clifton","NJ","Aldi","56 Lakeview Ave","07011",40.876930332981246,-74.13704842329025
"07011","Clifton","NJ","Corrados Family Market","600 Getty Ave","07011",40.88785960174887,-74.15187402756816
"07011","Clifton","NJ","Ideal Food Basket","85 Ackerman Ave","07011",40.8775145,-74.12173709999999
"07011","Clifton","NJ","Paterson Farmers Market","449 E Railway Ave","07503",40.89221610258443,-74.15064694234127
"07011","Clifton","NJ","Food Basics","514 Van Houten Ave","07055",40.856228347081995,-74.14374494515772
"07011","Clifton","NJ","Jefry's Mini Mart","not_available","07055",40.86753509338077,-74.13228557159887
"07011","Clifton","NJ","Akmarket Grocery & Deli","not_available","07503",40.89082180437935,-74.14836416120474
"07011","Clifton","NJ","Super Exito Supermarket","218 Dayton Ave","07011",40.87552299048653,-74.12229577065922
"07011","Clifton","NJ","El Especial Supermarket","278 Monroe St","07055",40.864989,-74.125692
"07011","Clifton","NJ","Quicks Food Store","355 E Railway Ave","07503",40.89079398912636,-74.14909105297329
"07011","Clifton","NJ","Kosher Konnection","200 Main Ave","07055",40.84565046364157,-74.12785096614945
"07011","Clifton","NJ","Food Basics","not_available","07011",40.89187798,-74.133793
"07011","Clifton","NJ","Blessings Grocery Store","1245 Main Ave","07011",40.8778748,-74.1423729
"07011","Clifton","NJ","CP's Convenience Store","145 Main Ave","07014",40.833551964758165,-74.13858322368972
"07011","Clifton","NJ","CTown Supermarkets","602 Main Ave","07055",40.8595716,-74.1243245
"07011","Clifton","NJ","Compare Foods Supermarket","Jefferson st","not_available",40.862051300556324,-74.12412640189335
"07011","Clifton","NJ","PathMark","not_available","07087",40.87639555970737,-74.12791573524595
"07011","Clifton","NJ","Spices Of India","Market Street","07012",40.845882,-74.16038
"07011","Clifton","NJ","Alvarado Grocery Store","Central St 54","07011",40.868145,-74.13056
"07011","Clifton","NJ","Athenia Food Mart","722 Van Houten Ave","07013",40.859855634569776,-74.1510222180107
"07012","Clifton","NJ","Stop & Shop","1189 Broad St","07013",40.8555598,-74.1761924
"07013","Clifton","NJ","Anadolu Supermarket","879 Main St","07503",40.89734202600483,-74.16188192464598
"07013","Clifton","NJ","Los Mellos","302 Trenton Ave","07503",40.89616394042969,-74.14651489257812
"07014","Clifton","NJ","Target","30 Kingsland Rd","07014",40.82486454225173,-74.1353987700274
"07014","Clifton","NJ","Stop & Shop","160 Kingsland Rd","07014",40.8277075,-74.139987
"07014","Clifton","NJ","ShopRite of Nutley","437 Franklin Ave.","07110",40.8214797867377,-74.15802525367754
"07016","Cranford","NJ","Kings Food Markets","300 South Ave","07027",40.652232870667184,-74.32203292530528
"07016","Cranford","NJ","ACME Markets","801 Kenilworth Blvd","07033",40.6780423,-74.2815197
"07016","Cranford","NJ","King Farms","206 North Ave W","07016",40.655713,-74.309325
"07016","Cranford","NJ","Food Emporium","10 South Avenue","07016",40.65330123901367,-74.315185546875
"07016","Cranford","NJ","Pushing Carts","not_available","07090",40.65538782722201,-74.30998505226123
"07017","East Orange","NJ","ShopRite","533 Main St","07018",40.766027520532475,-74.21878940260791
"07017","East Orange","NJ","Extra Supermarket","563 Central Ave","07018",40.760401296802954,-74.2235528943387
"07017","East Orange","NJ","Halal Bites Meat Market","400 Central Ave","07018",40.75703048706055,-74.21780395507812
"07017","East Orange","NJ","Tropical Sun Supermarket","390 Main St","07018",40.76258326044996,-74.2123590821212
"07018","East Orange","NJ","Save A Lot","200 Central Ave","07050",40.7650071,-74.2315971
"07018","East Orange","NJ","Fine Fare","935 S Orange Ave","07018",40.746461,-74.226662
"07018","East Orange","NJ","Western Beef","1 Main St","07018",40.75593144771095,-74.1990371265525
"07020","Edgewater","NJ","Whole Foods Market","905 River Road","07020",40.8247057079905,-73.97382812137316
"07020","Edgewater","NJ","Central Market","300 W 110th St","10026",40.800297495284134,-73.95934914772775
"07020","Edgewater","NJ","H Mart","2828 Broadway","10025",40.80401565017113,-73.96667439065985
"07020","Edgewater","NJ","Best Market","2187 Frederick Douglass Blvd","10026",40.806067140423096,-73.9543523359782
"07020","Edgewater","NJ","Westside Market","2840 Broadway","10025",40.8042546041038,-73.96659969137721
"07020","Edgewater","NJ","Cafasso's Fairway Market","1214 Anderson Ave","07024",40.83943454629684,-73.98150631286644
"07020","Edgewater","NJ","Morton Williams","2941 Broadway","10025",40.80761278991331,-73.96420497872924
"07020","Edgewater","NJ","Foodtown","1316 Amsterdam Ave","10027",40.812313,-73.957444
"07020","Edgewater","NJ","CTown Supermarkets","560 W 125th St","10027",40.81472798073706,-73.95768021315831
"07020","Edgewater","NJ","Milano Market","2892 Broadway","10025",40.805847954124296,-73.96542446431012
"07020","Edgewater","NJ","Apple Tree Supermarket","1225 Amsterdam Ave","10027",40.80951618641807,-73.95909259548225
"07020","Edgewater","NJ","Columbus Market","81 W 104th St","10025",40.797937,-73.96329399999999
"07020","Edgewater","NJ","Garden of Eden Marketplace","2780 Broadway","10025",40.80254747989749,-73.9677664720545
"07020","Edgewater","NJ","H Mart Fresh","1379 16th St","07024",40.845576198150546,-73.97952359201619
"07020","Edgewater","NJ","CTown Supermarkets","3320 Broadway","10031",40.819530872665965,-73.95503108079026
"07020","Edgewater","NJ","Boulevard food store","520 Bergen Blvd","07650",40.84742186021689,-73.9849800600919
"07020","Edgewater","NJ","Mi Pais Market","3361 Broadway","10031",40.821487398405466,-73.95597826844138
"07020","Edgewater","NJ","Freshy's Beer & Grocery","941 Columbus Ave","10025",40.799291137552224,-73.96252781152725
"07020","Edgewater","NJ","Thrifty Grocery","3140-3176 Broadway","10027",40.814312,-73.9592669
"07020","Edgewater","NJ","Citarella","125th Street","10027",40.81122100353241,-73.954267
"07020","Edgewater","NJ","Associated Supermarket","2680 Broadway","10025",40.79850387573242,-73.96847534179688
"07020","Edgewater","NJ","ShopRite","not_available","07020",40.843595,-73.967853
"07022","Fairview","NJ","Super H Mart","321 Broad Ave","07657",40.82448021983795,-74.01048412968349
"07022","Fairview","NJ","Morning Farm","not_available","07022",40.81944724471146,-74.00179484779306
"07022","Fairview","NJ","International Food Cash & Carry","251 Broad Ave","07022",40.82246780395508,-74.00923156738281
"07023","Fanwood","NJ","Fine Fare","not_available","07062",40.63469,-74.394005
"07023","Fanwood","NJ","Fanwood Larder","44 S Martine Ave","07023",40.64006423950195,-74.3831558227539
"07024","Fort Lee","NJ","Han Nam Mart","1475 Bergen Blvd","07024",40.8517748921657,-73.98641694909082
"07024","Fort Lee","NJ","H Mart","120 Linwood Plz","07024",40.860928778734966,-73.97053006587382
"07024","Fort Lee","NJ","ACME Markets","2160 Lemoine Ave","07024",40.85618775693618,-73.96509738298846
"07024","Fort Lee","NJ","H-Mart","315 Broad Ave","07605",40.86165325137718,-73.98799449180235
"07024","Fort Lee","NJ","Silver Saddle Grocery","3635 Broadway","10031",40.82959,-73.948683
"07024","Fort Lee","NJ","Papasitos Foodmarkets","not_available","10031",40.828886078224386,-73.94872857401182
"07024","Fort Lee","NJ","Hanyang Supermarket","Broad Ave, Ridgefield, NJ","07657",40.843511760749,-73.98007881737723
"07026","Garfield","NJ","Walmart Supercenter","174 Passaic St","07026",40.866628785256104,-74.10076134387127
"07026","Garfield","NJ","Walmart","189 Us Highway 46","07663",40.89160570965401,-74.09369480731347
"07026","Garfield","NJ","Price Rite Of Garfield","59 Outwater Lane","07026",40.88151963260853,-74.11607111413132
"07026","Garfield","NJ","TORTILLAS MIXTECA","216 Midland Ave","07663",40.889286,-74.10319399999999
"07026","Garfield","NJ","Golden Eagle Deli","452 Lanza Ave","07026",40.8898811340332,-74.1068572998047
