"zip","city","state","name","address","postalCode","lat","lon"
"71601","Pine Bluff","AR","Planet Fitness","2901 S Olive St","71603",34.199616,-92.006428
"71601","Pine Bluff","AR","Raw Fhiit","not_available","not_available",34.199362,-92.037218
"71601","Pine Bluff","AR","Crossfit 1210","3200 S. Catalpa St.","71603",34.19785363872191,-92.0339298248291
"71602","White Hall","AR","JRMC White Hall Health Complex","1600 W Holland Ave","71602",34.285193,-92.116314
"71602","White Hall","AR","White Hall Fitness Center","not_available","71602",34.268729,-92.088737
"71602","White Hall","AR","P90X Dungeon","Terry Pond Cove","71602",34.281195402145386,-92.1060436964035
"71655","Monticello","AR","Union Bank GYM","not_available","71655",33.629941,-91.790702
"71701","Camden","AR","Anytime Fitness","206 Garden Oaks Dr","71701",33.58399,-92.85062
"71730","El Dorado","AR","Healthworks","not_available","71730",33.21316847093054,-92.66033745115143
"71730","El Dorado","AR","Strong Performance","not_available","71765",33.111026,-92.358346
"71730","El Dorado","AR","Planet Fitness","2028 N West Ave","71730",33.23252,-92.667138
"71753","Magnolia","AR","Curves For Women","not_available","71753",33.28544028645306,-93.2352001315389
"71753","Magnolia","AR","Physiques Fitness Center","Dudney","71753",33.27581035921352,-93.23038142964876
"71801","Hope","AR","Anytime Fitness","1301 N Hervey","71801",33.68081,-93.60374
"71822","Ashdown","AR","Anytime Fitness","1420 S Constitution Ave","71822",33.65775,-94.1145
"71822","Ashdown","AR","Start To Finish Fitness","61 E Main St","71822",33.67432403564453,-94.1309585571289
"71832","De Queen","AR","AMP Fitness","109 N. 2nd St","71832",34.0374,-94.33932
"71833","Dierks","AR","Sweat Shop","not_available","71833",34.11533737182617,-94.01427459716797
"71834","Doddridge","AR","Monster Activity Center","205 N Hwy 71","71837",33.26261,-93.88571
"71851","Mineral Springs","AR","Bell's Gym","1315 S 4th St","71852",33.93104934692383,-93.85081481933594
"71854","Texarkana","AR","Anytime Fitness","2229 Trinity Blvd","71854",33.474629,-94.01937099999999
"71854","Texarkana","AR","Fitness Center At Best Western Plus","not_available","71854",33.472781,-94.03517
"71854","Texarkana","AR","crossfit","3911 E 19th St","71854",33.44249845499421,-94.0004825592041
"71901","Hot Springs National Park","AR","Y.M.C.A.","not_available","71913",34.466722,-93.062696
"71901","Hot Springs National Park","AR","Planet Fitness","3310 Central Ave","71913",34.475804,-93.061517
"71901","Hot Springs National Park","AR","Hot Springs Athletic & Racquet","150 Peters Pt","71913",34.444732666015625,-93.09276580810547
"71901","Hot Springs National Park","AR","Hot Springs Health And Fitness","281 Lake Hamilton Dr","71913",34.446531618721814,-93.08247282836814
"71901","Hot Springs National Park","AR","Hot Springs Family YMCA","130 Werner St","71913",34.467093,-93.062221
"71901","Hot Springs National Park","AR","Pulse","Central Avenue","71913",34.454086087702535,-93.0746159869538
"71913","Hot Springs National Park","AR","Lake Hamilton Health And Fitness","Airport Road","71913",34.46297941666667,-93.1457208
"71923","Arkadelphia","AR","A-Town Fitness","not_available","71923",34.121906,-93.085223
"71945","Hatfield","AR","Hatfield Gym","not_available","71945",34.48377,-94.374779
"71953","Mena","AR","Non-Stop Fitness","1142 Highway 71 S Ste A","71953",34.57456970214844,-94.23965454101562
"71953","Mena","AR","Ouachita Rehabilitation And Fitness","not_available","71953",34.58645878506745,-94.22547869104322
"72002","Alexander","AR","Planet Fitness","1515 Military Rd","72015",34.578881,-92.573891
"72002","Alexander","AR","Bowman Pointe Gym","3321 S Bowman Rd","72211",34.72508158249745,-92.40710751212022
"72002","Alexander","AR","24 AtHletic Club","not_available","72015",34.63436319903899,-92.5155832683412
"72002","Alexander","AR","LA Fitness","11700 Chenal Pkwy","72211",34.74930547618476,-92.4042434625425
"72002","Alexander","AR","10 Fitness","not_available","72022",34.620532484594385,-92.50184540979967
"72002","Alexander","AR","Your Total Fitness Shop -Little Rock","4700 Bowman Rd Ste 200","72210",34.711814880371094,-92.40928649902344
"72002","Alexander","AR","Mckenzie Gym","not_available","72223",34.744996,-92.432279
"72002","Alexander","AR","Anytime Fitness","5313 Hwy 5 N Ste 300","72022",34.62335,-92.50259
"72002","Alexander","AR","Otter Creek Fitness Boot Camp","10506 Stagecoach Rd","72210",34.66328747015145,-92.42926597595215
"72002","Alexander","AR","Wellness Revolution","13401 Chenal Pkwy","72211",34.75433127,-92.42330828
"72002","Alexander","AR","Snap Fitness","400 N Bowman Rd","72211",34.75733190847057,-92.40633389585058
"72002","Alexander","AR","Express Fitness","3400 Winchester","72015",34.592767,-92.553933
"72002","Alexander","AR","Fitness Unlimited","1212 Highway 35 N","72019",34.574785643684244,-92.59195663966463
"72002","Alexander","AR","Bryant Fitness Zone","519 W Commerce Dr","72022",34.6201057434082,-92.50243377685547
"72002","Alexander","AR","HOTWORX - Benton AR","20320 Interstate 30 N","72019",34.6051393,-92.5416542
"72002","Alexander","AR","Chenal Health & Fitness","16105 Chenal Pkwy Ste E","72223",34.75673013437899,-92.4477446244563
"72002","Alexander","AR","Your Total Fitness Shop","not_available","72210",34.71169502780419,-92.4089189521698
"72002","Alexander","AR","Straightright Fitness","301 S Bowman Rd","72211",34.752357482910156,-92.40650177001953
"72002","Alexander","AR","Wellness Revolution Crossfit","not_available","72211",34.75513939480694,-92.42305463749716
"72002","Alexander","AR","Gym","500 Napa Valley Dr","72211",34.759231,-92.413094
"72002","Alexander","AR","Pulse Premier Fitness","3525 Highway 5 N Ste 200","72019",34.61613845825195,-92.51655578613281
"72002","Alexander","AR","B-Town Barbell Club","6948 Alcoa Rd Ste J","72015",34.600608825683594,-92.53555297851562
"72002","Alexander","AR","Fit Factory of Little Rock","16015 Chenal Pkwy, Suite E","72223",34.75646632296796,-92.44738496459277
"72004","Altheimer","AR","Motivation Training Center","not_available","72160",34.475519,-91.553186
"72004","Altheimer","AR","Streamlines Fitness & Tanning","E 21st St","72160",34.480248208222314,-91.55299411478485
"72007","Austin","AR","Beebe High School 9-10 Gym","not_available","72012",35.066041,-91.893971
"72007","Austin","AR","Prevail Fitness","205 N 10th St","72023",34.977518473236465,-92.02497697699052
"72010","Bald Knob","AR","Hour Of Power","not_available","72020",35.431757890869704,-91.54852304343181
"72015","Benton","AR","Orangetheory Fitness","7357 Alcoa Rd","72022",34.60361,-92.5335
"72016","Bigelow","AR","Bigelow High School Gym","not_available","72016",34.998963,-92.631926
"72023","Cabot","AR","LRAFB gym","Bldg 827 6th St","72076",34.901530029821764,-92.14011010553746
"72023","Cabot","AR","The Gym","not_available","72076",34.89940542969639,-92.09277410049819
