"zip","city","state","name","address","postalCode","lat","lon"
"85003","Phoenix","AZ","Roosevelt Square Apartments","121 W Portland St","85003",33.45947881469792,-112.07602808133458
"85003","Phoenix","AZ","Portland Parkway","10 W Portland St","85003",33.459844884850014,-112.0756257395976
"85003","Phoenix","AZ","Grant Park","701 S 3rd St","85003",33.440736,-112.07694599999999
"85003","Phoenix","AZ","Civic Space Park","424 N Central Ave","85004",33.45351954630914,-112.07445935100696
"85003","Phoenix","AZ","Pop-Up Park @ CityScape","50 W Jefferson St, Arizona State University - Downtown Phoenix Campus, Phoenix, AZ 85003","85003",33.44741439819336,-112.07482147216797
"85003","Phoenix","AZ","Space Ship","not_available","85004",33.45340895208887,-112.07431000019945
"85003","Phoenix","AZ","maricopa county parks and recreation department","234 N Central Ave Ste 6400","85004",33.45101547241211,-112.07420349121094
"85003","Phoenix","AZ","Harmon Park","not_available","85003",33.43382,-112.07953
"85003","Phoenix","AZ","Vernon Avenue Pocket Park","10 W Vernon Ave","85003",33.474205017089844,-112.0744857788086
"85003","Phoenix","AZ","Roosevelt Park","not_available","not_available",33.45789756501248,-112.07849831525472
"85003","Phoenix","AZ","Washington Street between 2nd and 3rd Avenues","xxxx","85004",33.4481831460275,-112.07689762115479
"85003","Phoenix","AZ","Laci Land","434 N Central Ave","85003",33.451371,-112.074534
"85004","Phoenix","AZ","Phoenix Rio Salado Park & Restoration Area","2439 S. Central Ave","85004",33.42280953616579,-112.0720911026001
"85004","Phoenix","AZ","Margaret T Hance Park","67 W Culver St","85003",33.46215975528237,-112.07284289173006
"85004","Phoenix","AZ","Heritage and Science Park","115 N 6th St","85004",33.449331061772,-112.06636897423789
"85004","Phoenix","AZ","Willo Pocket Park","2200 N 3rd St","85004",33.471439361572266,-112.06973266601562
"85004","Phoenix","AZ","Monterey Park","350 E Oak St","85004",33.474309723498706,-112.06766143032128
"85004","Phoenix","AZ","Virginia Piper Plaza","W Van Buren St","85009",33.45072546995054,-112.06897974014282
"85004","Phoenix","AZ","Townsend Park","520 E Lynwood St","85004",33.465448123446855,-112.06592864632988
"85004","Phoenix","AZ","Park @ Central & Thomas","77 E Roanoke Ave","85004",33.478484,-112.070296
"85004","Phoenix","AZ","Central Park","1202 South3rd Street","85004",33.43832219516733,-112.07245864889283
"85004","Phoenix","AZ","M.O. Best Park","1005 N 2nd St","85004",33.458999,-112.07054699999999
"85006","Phoenix","AZ","Coronado Park","1717 N 12th St","85006",33.46836139223096,-112.05578478216448
"85006","Phoenix","AZ","Virginia Park","not_available","85006",33.476752,-112.049218
"85006","Phoenix","AZ","Verde Park","916 E Van Buren St","85006",33.45362602415189,-112.0609273240908
"85006","Phoenix","AZ","Playground","McDowell","not_available",33.45312975170717,-112.05816593809517
"85007","Phoenix","AZ","Encanto Park","15th Ave & Encanto Blvd","85007",33.47452390455862,-112.09032587734464
"85007","Phoenix","AZ","Enchanted Island","1202 W Encanto Blvd","85007",33.47469093257227,-112.08799054305051
"85007","Phoenix","AZ","Pioneer & Military Memorial Park","1500 W. Jefferson","85007",33.44678182563078,-112.09019236362059
"85007","Phoenix","AZ","Alkire Park","not_available","85007",33.43402099609375,-112.09461212158203
"85008","Phoenix","AZ","Papago Park","625 N Galvin Pkwy","85008",33.46016006282705,-111.95347309112549
"85008","Phoenix","AZ","Old Cross Cut Canal Park","Parallel 48th St","85018",33.480168806928354,-111.98025623864277
"85008","Phoenix","AZ","Crosscut Canal Multi-use Path","Papago Park","85281",33.44838938580308,-111.93957728837779
"85008","Phoenix","AZ","Hilaria Rodriguez Park","2801 E Adams St","85034",33.448997497558594,-112.02136993408203
"85008","Phoenix","AZ","in a Gutter","not_available","85008",33.480371590814606,-112.03018576463404
"85008","Phoenix","AZ","Galvin Bikeway","Papago Park","not_available",33.463747984761724,-111.9539404434774
"85008","Phoenix","AZ","Tovrea Castle at Carraro Heights","5025 E Van Buren St","85008",33.44827030748718,-111.97174105375177
"85008","Phoenix","AZ","Pierce Park","2150 N 46th St","85008",33.47230460946406,-111.9903452869395
"85008","Phoenix","AZ","Cityof Phoenix Parks-Pierce","4550 E Oak St","85008",33.472294261971406,-111.98318340762594
"85008","Phoenix","AZ","Hobbits Hole","646 N 44th St, Phoenix, AZ 85008","85008",33.45583724975586,-111.98725128173828
"85009","Phoenix","AZ","Coffelt Park","1510 S 19th Dr","85009",33.433433,-112.101901
"85009","Phoenix","AZ","Kuban Community Park","3275 W Sherman St","85009",33.44012085,-112.12935614
"85009","Phoenix","AZ","Willow Park","2808 W Taylor St","85009",33.45412063598633,-112.11973571777344
"85009","Phoenix","AZ","Sueno Park","4401 W Encanto Blvd","85035",33.471896,-112.154021
"85009","Phoenix","AZ","Smith Park","4022 W Sherman St","85009",33.441179999999996,-112.146429
"85009","Phoenix","AZ","Sherman Park","not_available","85009",33.440224745782565,-112.10254002239506
"85012","Phoenix","AZ","Steele Indian School Park","300 E Indian School Rd","85012",33.498100287046256,-112.06975730364157
"85012","Phoenix","AZ","Southwest Vegfest","not_available","85012",33.500429,-112.06825
"85012","Phoenix","AZ","Montebello Triangle Park","not_available","85013",33.520206,-112.075926
"85012","Phoenix","AZ","Volleyball Courts At Indian Steele Park","Indian School","85012",33.50146250102243,-112.07124770138239
"85012","Phoenix","AZ","Hashy Yoga","411 E Indian School Rd","85012",33.493697999999995,-112.066879
"85013","Phoenix","AZ","Colter Park","525 W Colter St","85013",33.51263203278322,-112.08484171752855
"85013","Phoenix","AZ","Forest Park","3800 N 6th Ave","85013",33.49135182023308,-112.08241983408075
"85013","Phoenix","AZ","Brentwood Park","334 W Medlock Dr","85013",33.51226007113778,-112.07971745475872
"85015","Phoenix","AZ","Washington Park","not_available","85015",33.53187434936049,-112.10454853874973
"85015","Phoenix","AZ","Parque Nacional del Cuatro Vientos","1927 W Weldon Ave","85015",33.49024200439453,-112.10118865966797
"85015","Phoenix","AZ","Tonya's Park Of Goodies!","Downtown Parkville","69696",33.49035097178003,-112.09729834
"85016","Phoenix","AZ","Desert Storm Park","not_available","85016",33.513442282411106,-112.0452354783769
"85016","Phoenix","AZ","Los Olivos Park","2802 E Devonshire Ave","85016",33.49703034448557,-112.02020109271554
"85016","Phoenix","AZ","Granada Park","6505 N 20th St","85016",33.531212108231614,-112.04017385891406
"85016","Phoenix","AZ","Phoenix Mountains Park and Recreation Area","2701 E. Squaw Peak Dr.","85016",33.54117365740971,-112.01844867724036
"85016","Phoenix","AZ","Solano Park","5625 N 17th St","85016",33.519822,-112.04476499999998
"85016","Phoenix","AZ","Keresan Park","2810 E Glenrosa Ave","85016",33.498934999999996,-112.02043300000001
"85016","Phoenix","AZ","AIDAN park","GODs Country","85020",33.54427505368908,-112.04209163796692
"85016","Phoenix","AZ","Sumida Park","1817 E. Gardenia Ave.","85008",33.54657037595784,-112.04044545071903
"85017","Phoenix","AZ","Shade Industries","2940 Grand Ave","85017",33.485118,-112.121794
"85018","Phoenix","AZ","Arcadia Park","3402 N 56th St","85018",33.48885996286561,-111.96173622872821
"85018","Phoenix","AZ","Kachina Park","4304 E Campbell Ave","85018",33.502785105752785,-111.99017118210656
"85018","Phoenix","AZ","G.R. Herberger Park","5802 E Indian School Rd","85018",33.49036309156996,-111.95784707151368
"85020","Phoenix","AZ","Phoenix North Mountain Preserve","not_available","85020",33.577326107707876,-112.03099629239539
"85020","Phoenix","AZ","North Mountain Park Trail 44","Peoria Avenue","not_available",33.582400662355845,-112.06202106543044
"85020","Phoenix","AZ","Christy Cove Park","not_available","85028",33.588563173880225,-112.02908136153204
"85020","Phoenix","AZ","Dreamy Draw Recreation Area","2000 E Northern","not_available",33.56439899543697,-112.02915285247134
"85020","Phoenix","AZ","Arizona Canal Central","Central And Ruth","85030",33.56037553201923,-112.0739315794469
"85020","Phoenix","AZ","Phoenix Mountains Preserve","2701 E Squaw Peak Dr","85016",33.5638012768088,-112.0276415348053
"85020","Phoenix","AZ","The Erickson Fire Pit","2538 E Desert Cove Ave, Phoenix, AZ 85028","85028",33.586917877197266,-112.02716064453125
"85020","Phoenix","AZ","Norton Park","1224 East Hatcher Rd.","85020",33.57172635929527,-112.05588957635918
"85020","Phoenix","AZ","Kierland Park","Dunlap","85020",33.56656420243066,-112.07862981453803
"85020","Phoenix","AZ","Phoenix Mountain Preserve","1708 E. Eva St.","85020",33.56855115272392,-112.05439308853859
"85020","Phoenix","AZ","Baby Shaw Butte Summit","North Mountain Park","not_available",33.58298,-112.07001
"85021","Phoenix","AZ","Royal Palm Park","15th Ave. and W. Butler Dr.","85021",33.558240116240924,-112.09019779732151
"85021","Phoenix","AZ","Butler Park","not_available","85021",33.5602885107384,-112.08988924087413
"85021","Phoenix","AZ","John F. and Mary P. Long Homestead Park","2602 W. Glendale Ave","85051",33.539950203876266,-112.11242539913626
"85021","Phoenix","AZ","Rose Mofford Sports Complex","9833 N 25th Ave","85021",33.57520676511974,-112.11202369737381
"85021","Phoenix","AZ","Alicia Park","2021 W Alice Ave","85021",33.56264877319336,-112.10192108154297
"85021","Phoenix","AZ","Rose Moffard Indoor Racquetball Court Room 2","not_available","85029",33.5769276694704,-112.11025388007548
"85022","Phoenix","AZ","Lookout Mountain","16th St","not_available",33.62682682451028,-112.04819883565155
"85022","Phoenix","AZ","Moon Valley Park","502 W Coral Gables Dr","not_available",33.62785300260348,-112.07854248682979
"85022","Phoenix","AZ","Grovers Park","not_available","85032",33.64736466269689,-112.03660155225835
"85022","Phoenix","AZ","12th street Park","not_available","85022",33.640323284141566,-112.05743237928945
"85022","Phoenix","AZ","Mountain View Community Center Park","1104 E Grovers Ave","85022",33.64805221557617,-112.0597915649414
"85022","Phoenix","AZ","Baby Boot Camp - Phoenix","502 W. Coral Gables Dr.","85023",33.62669761666667,-112.081339
"85022","Phoenix","AZ","Quail Run Park","Union Hills and 9th St.","85022",33.65430901464257,-112.06025599735516
"85023","Phoenix","AZ","Noquierequeellossejuegenenmiparque","not_available","85023",33.62808609008789,-112.1134033203125
"85023","Phoenix","AZ","Cave Creek Park - Thunderbird","13670 N 23rd Ave","85029",33.60928507542245,-112.10895538330078
"85024","Phoenix","AZ","Arroyo Rojo Park","735 E Potter Dr","85024",33.67409133911133,-112.06403350830078
"85024","Phoenix","AZ","Buffalo Ridge Park","19250 N 16th St.","85024",33.66011823281822,-112.046213561302
"85024","Phoenix","AZ","Desert Peak Park","not_available","85050",33.70727144039536,-112.02531027398
"85024","Phoenix","AZ","Saguaro Valley Common Area","E Matthew Drive","85050",33.677917899505374,-112.00183292187327
"85024","Phoenix","AZ","Wildcat Ridge Park","20714 N 38th St","85050",33.674495,-112.002126
"85024","Phoenix","AZ","Greenbelt","1010 E. Tonopah Dr.","85027",33.67127535799224,-112.05980771180758
"85024","Phoenix","AZ","Buffalo Ridge B-ball Courts","not_available","85024",33.6598734752266,-112.04570102048899
"85024","Phoenix","AZ","The Park by Hugo's","3724 E Topeka Dr","85050",33.660002,-112.00179441666667
"85027","Phoenix","AZ","Deer Valley Park","19400 N 19th Ave","85027",33.665675652592306,-112.10242940840068
"85027","Phoenix","AZ","Paseo Highlands Park","3435 W Pinnacle Peak Rd","85027",33.69607560986192,-112.13222513230181
"85027","Phoenix","AZ","Bountiful Basket At Paseo Park","not_available","85027",33.69653959474922,-112.13281221557155
"85027","Phoenix","AZ","Skunk Creek Landfill","3165 W Happy Valley Road","85027",33.70676040649414,-112.12769317626953
"85028","Phoenix","AZ","Francisco Highland Park","2702 E Mountain View Rd","85028",33.575155,-112.023774
"85028","Phoenix","AZ","Mercury Mine Basin Park","3325 E Mountain View Rd, Phoenix, AZ 85028, United States","not_available",33.574796807080055,-112.00944542884827
"85028","Phoenix","AZ","Altadena Park","3711 E. Altadena Ave.","85028",33.592298033333336,-112.001983
"85028","Phoenix","AZ","Cholla Cove Park","4290-4398 E Cholla St","85028",33.59052689029454,-111.99013624988964
"85029","Phoenix","AZ","westown park","33rd Ave And Sweetwater","85029",33.60167931258423,-112.12833040299613
"85029","Phoenix","AZ","Cave Creek Park - Sandlilly","2500 W Cactus Rd","85029",33.59278890943346,-112.11410522460938
"85029","Phoenix","AZ","South Mountain 19th Ave Trails","10336 19th ave","not_available",33.595894290056364,-112.11809579038321
"85029","Phoenix","AZ","Rose Moffard Indoor Raquet Ball Courts Room 4","not_available","85051",33.578327412543935,-112.11742628907294
"85029","Phoenix","AZ","Sunnyslope Youth Center","1702 W Peoria Ave","85029",33.582727150384166,-112.09594173103936
"85031","Phoenix","AZ","Marivue Park","5625 W Osborn Rd","85031",33.486666,-112.180135
"85032","Phoenix","AZ","Paradise Valley Park","Paradise Valley Park","85032",33.64816234395056,-111.99723330370094
"85032","Phoenix","AZ","Paradise Valley Mall Children's Play Area","4568 E Cactus Rd","85032",33.6019861,-111.9817916
"85032","Phoenix","AZ","Roadrunner Park","3502 E Cactus Rd","85032",33.59845643605111,-112.00642626304769
"85032","Phoenix","AZ","Palomino Park","15675 N 30th St.","85032",33.630130767822266,-112.01667022705078
"85032","Phoenix","AZ","Indian Bend Park","E Thunderbird Rd","85029",33.611474392548885,-112.00208304452191
"85032","Phoenix","AZ","Venturoso Park","14425 N 32nd St.","85032",33.61737074915539,-112.01195134001583
"85032","Phoenix","AZ","Paradise Cove Park","3930 E Monte Cristo Ave","85032",33.6316699795502,-111.9974428965045
"85032","Phoenix","AZ","Sweetwater Park","13230 N 44th St.","85032",33.6055094198101,-111.9878889430965
"85032","Phoenix","AZ","The Park","not_available","85254",33.63241195678711,-111.97576141357422
"85033","Phoenix","AZ","Starlight Park","7810 W Osborn Road","85033",33.487998962402344,-112.22814178466797
"85033","Phoenix","AZ","Raintree Gardens","not_available","85033",33.48722455713012,-112.20793514059856
"85033","Phoenix","AZ","El Oso Park","3451 N 75th Avenue","85033",33.48835372924805,-112.21830749511719
"85033","Phoenix","AZ","Neighborhood Park","3400 N. 68th Ave.","85033",33.486863678250735,-112.20742867023554
"85033","Phoenix","AZ","Holiday Park","4530 N 67th Avenue","85033",33.50151389104345,-112.20134519396136
"85034","Phoenix","AZ","Barrios Unidos Park","not_available","85034",33.4307485130391,-112.0509002036249
"85034","Phoenix","AZ","Eastlake Park","1600 E. Jefferson St","85034",33.44660387840551,-112.04884506832877
"85034","Phoenix","AZ","Green Valley Park","2243 S 14th St","85034",33.426069,-112.05196200000002
"85034","Phoenix","AZ","Okemah Park","3828 E Anne St","85040",33.414336,-111.99794399999999
"85035","Phoenix","AZ","Desert West Skateboard Plaza","6501 W Virginia Ave","85035",33.4745525251587,-112.20160134071735
"85037","Phoenix","AZ","Dust Devil Park","10645 W Camelback Rd","85037",33.50658307828109,-112.28794405770174
"85037","Phoenix","AZ","Desert Star Park","8550 W Encanto Blvd","85037",33.472667822286844,-112.2454310322672
"85037","Phoenix","AZ","Los Arbolitos Neighborhood Park","not_available","85323",33.47480681046811,-112.29033161478489
"85037","Phoenix","AZ","Kimberly Park","Garden Lakes","85013",33.485312690977906,-112.30338683511026
"85037","Phoenix","AZ","The Park","not_available","85037",33.50148025870898,-112.30144345407803
"85037","Phoenix","AZ","Villa De Paz recreation Association","10320 West Campbell Avenue","85037",33.50217056274414,-112.28379821777344
"85040","Phoenix","AZ","Esteban Park Apartments","5611 S. 32nd St.","85040",33.397656013088636,-112.01065303520468
"85040","Phoenix","AZ","Hayden Park","400 W Tamarisk","not_available",33.4029220026994,-112.08087122465365
"85040","Phoenix","AZ","Peace Park","5221 S 13th Pl","85040",33.398712158203125,-112.05310821533203
"85040","Phoenix","AZ","Nueve Park","not_available","85040",33.40482,-112.05934
"85040","Phoenix","AZ","Hermoso Park","2030 E Southern Ave","85040",33.3948052133231,-112.03862997579782
"85041","Phoenix","AZ","Cesar Chavez Park","7858 S 35th Ave","85339",33.373802232531354,-112.13592773852554
"85041","Phoenix","AZ","El Prado Park","6428 S 19th Pl","85042",33.386840440211806,-112.10110187530518
"85041","Phoenix","AZ","Laveen Village Park","3146 W Vineyard Rd","85041",33.385164839348974,-112.12577479351773
"85041","Phoenix","AZ","Roseley Park","not_available","85041",33.39722054955148,-112.09932057084343
"85041","Phoenix","AZ","Country Glen Park","not_available","85339",33.38265935921736,-112.15507523468
"85041","Phoenix","AZ","Ceasar Chavez Park","35th Ave","85041",33.37118327427927,-112.08234415018421
"85041","Phoenix","AZ","Big Ramada","not_available","85042",33.34723737670656,-112.09155428085501
"85041","Phoenix","AZ","The park","W Harwell Rd","85339",33.37378908,-112.16691888
"85042","Phoenix","AZ","South Mountain Park","13078 South Warpaint Dr.","85042",33.35225451840557,-112.07170486450195
"85042","Phoenix","AZ","Holbert Trailhead - South Mountain","10002 N Central Ave","85020",33.351722001177734,-112.07021748428487
"85042","Phoenix","AZ","South Mountain","9402 S 43rd Pl","85044",33.362883441825836,-111.98576389759604
"85042","Phoenix","AZ","South Mountain Park","10919 S Central Ave","85042",33.34140396118164,-112.07500457763672
"85042","Phoenix","AZ","South Mountain Wild Life Information","South Mountain Preserves","85044",33.35980904219288,-112.00186550617218
"85042","Phoenix","AZ","Svob Park","2600 W Vineyard Rd","85282",33.3857980293493,-111.97711553709462
"85042","Phoenix","AZ","El Reposo Park","502 E Alta Vista Rd","85042",33.389766693115234,-112.06682586669922
"85042","Phoenix","AZ","Western Star Park","4425 E. Western Star Blvd.","85044",33.35280330779085,-111.98331281590346
"85042","Phoenix","AZ","Circle K Park","1346 E South Mountain Ave","85042",33.371225,-112.05562900000001
"85043","Phoenix","AZ","Sunridge Park","6201 W Roosevelt St","85043",33.457327,-112.194625
"85043","Phoenix","AZ","Covered Sandbox Greenbelt - Pomo and 65th Ave @ Cypress Landing HOA","not_available","85043",33.431222,-112.199671
"85043","Phoenix","AZ","Cordova Park","not_available","85353",33.43159322554445,-112.2330001109103
"85043","Phoenix","AZ","Riverbend Park On 55th Ave & Jones Ave","not_available","85053",33.4116725547149,-112.17760490189544
"85044","Phoenix","AZ","Sun Ray Park","4059 E Ray Rd","85044",33.31901634455051,-111.99699460076789
"85044","Phoenix","AZ","Mountain Vista Park","13647 S 50th St","85044",33.32582098156204,-111.97493487609573
"85044","Phoenix","AZ","Presidio Playground (A-Side)","13229 S 48th St","85044",33.32616424560547,-111.97859954833984
"85044","Phoenix","AZ","The Park (Diamond Ridge II)","not_available","85048",33.31321956247491,-112.0248761359723
"85044","Phoenix","AZ","Crimson Mountain HOA park","not_available","85044",33.31727131153505,-111.98648000898314
"85044","Phoenix","AZ","Dry Creek Greenbelt","2744 E Dry Creek Rd","85048",33.312191009521484,-112.02395629882812
"85048","Phoenix","AZ","Vista Canyon Park","16020 S 30th St.","85048",33.29956456084535,-112.01924046642671
"85048","Phoenix","AZ","Desert Foothills Park","1010 E. Marketplace SW","85048",33.30509922203928,-112.05941182320693
"85048","Phoenix","AZ","The Park","Lakewood Pkwy","85048",33.298510662196456,-112.00052078977721
"85048","Phoenix","AZ","Pecos Park","17010 S 48th St","85048",33.29235291158592,-111.98083262201187
"85048","Phoenix","AZ","Foothills gateway","4505 E Chandler Blvd","85048",33.3042106628418,-111.98625946044922
"85050","Phoenix","AZ","Cashman Park","22222 N 44th St","85050",33.688927924375186,-111.98001171233298
"85050","Phoenix","AZ","Rock Star Boot Camp","22234 N 44th Pl","85050",33.688758850097656,-111.98091888427734
"85051","Phoenix","AZ","Mariposa Park","3203 W Morten Ave","85051",33.550973594198545,-112.1330227068119
"85051","Phoenix","AZ","La Pradera Park","6830 N 39th Ave","85031",33.53879176207316,-112.14606065352918
"85051","Phoenix","AZ","Manzanita Ball Park","8429-8499 N 41st Ave","85051",33.56022677140617,-112.14677372331445
"85051","Phoenix","AZ","Cortez Park","3434 W Dunlap Ave","85051",33.568387725695544,-112.1328247686393
"85053","Phoenix","AZ","Acacia Park","2944 W. Hearn Rd.","not_available",33.615440368652344,-112.12174987792969
"85053","Phoenix","AZ","Conocido Park","15645 N. 31st Ave.","85053",33.632665618175075,-112.12629318237305
"85053","Phoenix","AZ","Acoma Park","14421 N. 39th Ave.","85053",33.616641998291016,-112.14176940917969
"85083","Phoenix","AZ","Deem Hills Park","51st Ave. & Deem Hills Pkwy.","85310",33.72785445528178,-112.16709690944994
"85083","Phoenix","AZ","Mountain Ridge Park","not_available","85083",33.713676,-112.177267
"85083","Phoenix","AZ","The Park","not_available","85085",33.73003061813457,-112.12936666946042
"85085","Phoenix","AZ","Desert Hills Trailhead","705 W Carefree Highway","not_available",33.799930572509766,-112.08750915527344
"85085","Phoenix","AZ","The Park/Playground","33611 N 26th Ave","85085",33.78989028930664,-112.11524200439453
"85085","Phoenix","AZ","Bologna's Poo Garden","N North Valley Parkway","85085",33.789857625961304,-112.11922287940979
"85086","Phoenix","AZ","Anthem Community Park","41703 N Gavilan Peak Pkwy","85086",33.860687292142245,-112.13573455810547
"85086","Phoenix","AZ","Pocket Park Off Ranier Ct.","3881 W Ranier Ct","85086",33.87378692626953,-112.14418029785156
"85086","Phoenix","AZ","Traditions Park","not_available","85086",33.8508572856768,-112.13183507750914
"85086","Phoenix","AZ","Tramonto East community park","35649 n Via AquilA","85086",33.80793722333533,-112.11850913457157
"85119","Apache Junction","AZ","Earth Heart Park","not_available","85120",33.42150767218722,-111.55032315959978
"85119","Apache Junction","AZ","Prospector Park","not_available","85119",33.44276992540523,-111.54435272005605
"85119","Apache Junction","AZ","Superstition Shadows Park","801 W Southern Ave","85120",33.391510009765625,-111.55687713623047
"85119","Apache Junction","AZ","Ride for Manny","not_available","85220",33.39238739013672,-111.55815124511719
"85120","Apache Junction","AZ","Skyline Park","655 S Crimson Rd","85208",33.40321325507203,-111.6116477713289
"85120","Apache Junction","AZ","The Villages Of Eastridge Big Park","kiowa","85209",33.37587711168741,-111.61079188078102
"85120","Apache Junction","AZ","Spiderweb Park","not_available","85212",33.331802,-111.596344
"85120","Apache Junction","AZ","Clancy Park","S. Clancy Cir.","85220",33.395121720371016,-111.58470178193367
"85120","Apache Junction","AZ","Cheshire Park","1041 S Cheshire","85208",33.39556884765625,-111.6065902709961
"85120","Apache Junction","AZ","Farmdale park","not_available","85208",33.396626746258434,-111.60373515093885
"85121","Bapchule","AZ","Jane Askew Memorial Park","Rancho El Dorado Parkway","85239",33.08186420835052,-112.03646764758935
"85122","Casa Grande","AZ","Rancho Grande Park","N Pueblo Dr","not_available",32.92849915846834,-111.73475503921509
"85122","Casa Grande","AZ","Safari Mobile Home R V Park","120 W Oneil Dr","85122",32.8986219,-111.7547251
"85122","Casa Grande","AZ","Dave White Park","2121 N Thornton Rd","85122",32.91034589207042,-111.7732880046694
"85122","Casa Grande","AZ","Peart Park","350 E. 6th St.","85122",32.87892150878906,-111.74967193603516
"85122","Casa Grande","AZ","Casa Grande Neon Sign Park","not_available","85122",32.878825,-111.753874
"85122","Casa Grande","AZ","Gilbert Park","1140 E Trinity Place","85122",32.8845100402832,-111.73834228515625
"85122","Casa Grande","AZ","cruz park","611 W Melrose Dr, Casa Grande, AZ 85122","85122",32.88972473144531,-111.76220703125
"85122","Casa Grande","AZ","Burrus Park (Bountiful Basket Pickup)","1750 n palm park blvd","not_available",32.90024322332025,-111.74557982945419
"85122","Casa Grande","AZ","skate park","not_available","85222",32.886786210378176,-111.73983317145674
"85122","Casa Grande","AZ","Reed-Mashore Park","East 4th St","85222",32.877872881661865,-111.74985925330033
"85123","Arizona City","AZ","Arizona City Park","S sunland Gin","85123",32.752945,-111.67068
"85123","Arizona City","AZ","Paul Mason Sportsplex","N Pinal Ave, Casa Grande, AZ","85222",32.75082721296459,-111.68234896434312
"85128","Coolidge","AZ","Walker Park","Vah Ki Inn Rd","85128",32.987379942789524,-111.52306615868679
"85128","Coolidge","AZ","Central Arizona College Green at Signal Peak","not_available","85228",32.956384603631825,-111.65284696468669
"85128","Coolidge","AZ","Sunscape Way","151 sunscape way","not_available",32.86227496,-111.56640785
"85128","Coolidge","AZ","Anthem Community Park","not_available","85242",33.05910145850521,-111.4760041519954
"85131","Eloy","AZ","Trekell Park","not_available","85231",32.75196838378906,-111.56388854980469
"85131","Eloy","AZ","Toltec Mini Park","3651 W Shedd Rd","85131",32.791735796018614,-111.60376426285897
"85131","Eloy","AZ","Picacho State Recreation Area","not_available","92281",32.714782482277975,-111.50146523177287
"85132","Florence","AZ","Shanes Park","not_available","45882",33.0373416,-111.389581
"85132","Florence","AZ","Main Street Park","not_available","85232",33.02526757703483,-111.38802336689176
"85137","Kearny","AZ","Bat Country","900-1098 U.S. 60","85173",33.28700737301484,-111.10627971145557
"85137","Kearny","AZ","Besich Park","not_available","85273",33.293782,-111.098084
"85138","Maricopa","AZ","Copper Sky Recreation Park North Playground","not_available","85138",33.043019814485525,-112.0489032874811
"85138","Maricopa","AZ","Copper Sky Regional Park","45345 W Martin Luther King Jr Blvd","85138",33.03711563415772,-112.04697041093667
"85138","Maricopa","AZ","Pacana Park","19000 N Porter Rd","85138",33.05271305805529,-112.01517672252706
"85138","Maricopa","AZ","Homestead HOA Park & Lake","41000 DR Horton Drive","85138",33.066641721833975,-112.00648161981002
"85138","Maricopa","AZ","Relay For Life - Maricopa","not_available","85239",33.04777945213718,-112.0120561358944
"85138","Maricopa","AZ","Center Park","Cobblestone Farms Dr","85139",33.08333543371852,-112.03952111596954
"85138","Maricopa","AZ","Pacana Park","Maricopa,AZ,85138","85138",33.05044123346764,-112.03753306281608
"85139","Maricopa","AZ","Maricopa Meadows Park","45725 W Honeycutt Ave","85139",33.05238723754883,-112.05818939208984
"85140","San Tan Valley","AZ","Circle Cross Ranch Park","West Empire Blvd.","85142",33.2022532201867,-111.56752918879563
"85140","San Tan Valley","AZ","Taylor Ranch Park","41309 N Palm Springs Trl","85140",33.25375747680664,-111.56137084960938
"85140","San Tan Valley","AZ","Lyle Avenue Park","Lyle Avenue","85140",33.2570342,-111.570554
"85142","Queen Creek","AZ","San Tan Mountain Regional Park","not_available","85142",33.16804232908262,-111.63560688559866
"85142","Queen Creek","AZ","Shamrock park","not_available","85297",33.24295488829679,-111.7276819190274
"85142","Queen Creek","AZ","Gilbert Regional Park","3005 E. Queen Creek Road","85297",33.256314,-111.723908
"85142","Queen Creek","AZ","Clubhouse Community Park - Power Ranch","4400 E Haven Crest","85297",33.2705960907994,-111.69583082199097
"85142","Queen Creek","AZ","Cortina Neighborhood Park North","E Swan Dr","85142",33.27619227209587,-111.6712631568244
"85142","Queen Creek","AZ","Morning Sun Farms Park","skyline at village","not_available",33.19246665,-111.59394265
"85142","Queen Creek","AZ","Desert Mountain Park","20001-20185 E Ocotillo Rd","85142",33.24761147966121,-111.64959807484547
"85142","Queen Creek","AZ","Evans Ranch Park","not_available","85249",33.22146713912998,-111.75013872580713
"85142","Queen Creek","AZ","The Arbors Park","Power Ranch","85297",33.27514821309128,-111.7081653610589
"85143","San Tan Valley","AZ","Twilight Park","1378 E Sugey Ct","85143",33.13250732421875,-111.55218505859375
"85143","San Tan Valley","AZ","Copper Basin Park","Copper Mine","85143",33.13429999177173,-111.53549348744913
"85143","San Tan Valley","AZ","ZYBA Studios","28000 N. Main Street","85143",33.13737151406467,-111.52685165405273
"85143","San Tan Valley","AZ","Rebecca Park - RBV South","30658 N Rebecca Ln","85143",33.157684326171875,-111.5439224243164
"85143","San Tan Valley","AZ","Pathfinder Park","not_available","85143",33.14119756221771,-111.5578043460846
"85143","San Tan Valley","AZ","Indigo Sky Park","Johnson Ranch Blvd","85242",33.138910371626224,-111.56201197391508
"85147","Sacaton","AZ","Ira H. Hayes Memorial Park","not_available","85247",33.08088913350765,-111.74499759476191
"85193","Casa Grande","AZ","Casa Grande Soccer Park","12684 W Gila Bend Hwy","85193",32.879581451416016,-111.84752655029297
"85201","Mesa","AZ","Riverview Park","2100 W Rio Salado Pkwy","85201",33.43206851785134,-111.87656389639119
